skema,components,scenario,condition,rm,eer_mean,eer_std,eer_count,auc_mean,auc_std,auc_count,min_tdcf_mean,min_tdcf_std,min_tdcf_count
augmented,delta2,S1,seen,1,0.014571755887187532,0.0022333570373015564,3,0.9990108336074798,0.0002568493323096881,3,0.0412753958282339,0.006964719149535998,3
augmented,delta2,S2,unseen,"1, 2",0.0847964211095867,0.010157782279946688,3,0.9737832083401989,0.005295446469037015,3,0.2122829700069949,0.01762659704392896,3
augmented,delta2,S3,clean,3,0.0847964211095867,0.010157782279946688,3,0.9737832083401989,0.005295446469037015,3,0.2122829700069949,0.01762659704392896,3
augmented,delta2,S3,gain_L1,3,0.0847964211095867,0.010157782279946688,3,0.9737832079209827,0.005295456740158913,3,0.2122829700069949,0.01762659704392896,3
augmented,delta2,S3,gain_L2,3,0.08477376078781014,0.010127349181761752,3,0.973783218401392,0.005295450622628686,3,0.2122829700069949,0.01762659704392896,3
augmented,delta2,S3,gain_L3,3,0.0847964211095867,0.010157782279946688,3,0.9737832112747137,0.0052954598220257216,3,0.2122829700069949,0.01762659704392896,3
augmented,delta2,S3,lowpass_L1,3,0.07859012059102694,0.004609374637773983,3,0.9758819098837227,0.003018281896904707,3,0.21443444353537652,0.013174098836073915,3
augmented,delta2,S3,lowpass_L2,3,0.08116442688162603,0.006206193206722665,3,0.9747970680442921,0.003739915118238153,3,0.20853108307917792,0.010592864703513236,3
augmented,delta2,S3,lowpass_L3,3,0.0869159572875865,0.008654348809825359,3,0.9713584273067616,0.005120760134787567,3,0.2171106469811073,0.017324005232069107,3
augmented,delta2,S3,noise_L1,3,0.1580774480615858,0.02547376669399498,3,0.9213678026617069,0.018247329878539467,3,0.43684851752911485,0.05749009890396517,3
augmented,delta2,S3,noise_L2,3,0.20965083669593068,0.029653754956490898,3,0.8770540820393529,0.029601288936250206,3,0.5513595330545074,0.050675202585481666,3
augmented,delta2,S3,noise_L3,3,0.24810064212964736,0.027486493782731863,3,0.8339158893996873,0.03199818252851599,3,0.6439872126589171,0.057766424334998664,3
augmented,delta2,S3,resample_L1,3,0.08407002226399458,0.007114879151663496,3,0.9732917454762005,0.0038313057808617903,3,0.21790697563100048,0.012934421738957867,3
augmented,delta2,S3,resample_L2,3,0.08438897801009737,0.008220143077796274,3,0.9730366036846889,0.004503650221709631,3,0.21681157439568519,0.011495874685101614,3
augmented,delta2,S3,resample_L3,3,0.08531809522065577,0.008836335450711922,3,0.9723315626556053,0.004927578204369884,3,0.21821060336845063,0.013947978968044613,3
augmented,delta2,S3,reverb_L1,3,0.11914096218424337,0.004528959941904828,3,0.9510996129283008,0.004654665015979867,3,0.29325184437678803,0.015346350322983999,3
augmented,delta2,S3,reverb_L2,3,0.11240065420894783,0.00699700673233944,3,0.9565638878917828,0.0054012650181107374,3,0.27363186451433014,0.01113711365277906,3
augmented,delta2,S3,reverb_L3,3,0.11650391219845103,0.010041036395849672,3,0.9525608532180027,0.0075209744226717775,3,0.2866005100467817,0.01863868202573395,3
augmented,delta2,S4,in_the_wild,"1, 2",0.632153364337882,0.008835058373504427,3,0.31986362906108873,0.008851023736630706,3,,,0
augmented,delta2,S4,wavefake,"1, 2",0.4567462106230467,0.03687230785063392,3,0.5678586750939816,0.05017207672769081,3,,,0
baseline,delta2,S1,seen,1,0.0010525982313881333,0.0005679498519831272,3,0.999995480847509,2.4711791740762734e-06,3,0.002202352149884333,0.0008956485914313816,3
baseline,delta2,S2,unseen,"1, 2",0.18131403807814406,0.014189966483370052,3,0.8947799952898525,0.013412348959523916,3,0.39389564631479496,0.014756170683388256,3
baseline,delta2,S3,clean,3,0.18131403807814406,0.014189966483370052,3,0.8947799952898525,0.013412348959523916,3,0.39389564631479496,0.014756170683388256,3
baseline,delta2,S3,gain_L1,3,0.18128829441995079,0.014220626510667324,3,0.8947800103816418,0.013412378014489188,3,0.39389564631479496,0.014756170683388256,3
baseline,delta2,S3,gain_L2,3,0.18128829441995079,0.014220626510667324,3,0.8947800112200747,0.01341233839614313,3,0.39389564631479496,0.014756170683388256,3
baseline,delta2,S3,gain_L3,3,0.18131403807814406,0.014189966483370052,3,0.8947799948706362,0.013412337633351175,3,0.39389564631479496,0.014756170683388256,3
baseline,delta2,S3,lowpass_L1,3,0.24598168572789011,0.03087062839285049,3,0.8096625609202088,0.05088468843516977,3,0.7850381221598016,0.17534456434280127,3
baseline,delta2,S3,lowpass_L2,3,0.14502693553226062,0.01659464163421881,3,0.9277402612662073,0.017538199360275498,3,0.3900143112569365,0.05500532613291296,3
baseline,delta2,S3,lowpass_L3,3,0.13626282237204507,0.018087684440935586,3,0.93276772073509,0.01743923329694457,3,0.338578744256526,0.07374410608882975,3
baseline,delta2,S3,noise_L1,3,0.3699589686106795,0.019706918797156855,3,0.6707556574653788,0.027210652171474163,3,0.8283744719559144,0.020956108581248717,3
baseline,delta2,S3,noise_L2,3,0.43112222981926124,0.010734939195643335,3,0.58870025325951,0.012500905685043985,3,0.9651058967252829,0.03294971349840375,3
baseline,delta2,S3,noise_L3,3,0.45209133800794793,0.008182316437823677,3,0.5590852433816403,0.006353328689747307,3,0.9755617406893528,0.021281337730587935,3
baseline,delta2,S3,resample_L1,3,0.15523767971082716,0.016952380347505305,3,0.9207149737741173,0.019064629741045867,3,0.4010448774349755,0.049913772847697865,3
baseline,delta2,S3,resample_L2,3,0.16534451985392382,0.016398651322993715,3,0.9096146096939209,0.01853908392462154,3,0.4115953775506158,0.05173739173297453,3
